"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 28 03:44:22 UTC 2023","Thu Sep 28 03:44:32 UTC 2023","9678","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Thu Sep 28 03:22:23 UTC 2023","Thu Sep 28 03:22:39 UTC 2023","16189","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Thu Sep 28 02:38:14 UTC 2023","Thu Sep 28 02:38:17 UTC 2023","3083","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Sep 28 03:50:00 UTC 2023","Thu Sep 28 03:50:27 UTC 2023","27745","","21. Forgot password function","","","","2. Reset password",""
"passed","Thu Sep 28 02:44:55 UTC 2023","Thu Sep 28 02:45:05 UTC 2023","9118","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Thu Sep 28 03:07:45 UTC 2023","Thu Sep 28 03:07:47 UTC 2023","2083","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Thu Sep 28 03:55:08 UTC 2023","Thu Sep 28 03:55:12 UTC 2023","4103","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Thu Sep 28 02:44:36 UTC 2023","Thu Sep 28 02:44:55 UTC 2023","19832","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Sep 28 03:49:45 UTC 2023","Thu Sep 28 03:50:00 UTC 2023","14869","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Thu Sep 28 03:52:52 UTC 2023","Thu Sep 28 03:52:52 UTC 2023","26","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Thu Sep 28 03:55:18 UTC 2023","Thu Sep 28 03:55:20 UTC 2023","2026","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Thu Sep 28 02:40:02 UTC 2023","Thu Sep 28 02:40:06 UTC 2023","4079","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Sep 28 02:20:37 UTC 2023","Thu Sep 28 02:20:47 UTC 2023","9981","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Thu Sep 28 02:45:07 UTC 2023","Thu Sep 28 02:45:18 UTC 2023","11292","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Thu Sep 28 03:11:34 UTC 2023","Thu Sep 28 03:11:36 UTC 2023","2355","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Thu Sep 28 03:44:34 UTC 2023","Thu Sep 28 03:44:38 UTC 2023","4245","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Thu Sep 28 03:14:35 UTC 2023","Thu Sep 28 03:14:54 UTC 2023","19610","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Thu Sep 28 02:48:21 UTC 2023","Thu Sep 28 02:48:30 UTC 2023","8996","","6. Company Account","","","","2. Create a Company Account",""
"passed","Thu Sep 28 02:22:45 UTC 2023","Thu Sep 28 02:23:44 UTC 2023","58565","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Thu Sep 28 03:47:35 UTC 2023","Thu Sep 28 03:47:37 UTC 2023","1913","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Thu Sep 28 03:47:30 UTC 2023","Thu Sep 28 03:47:33 UTC 2023","3451","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Thu Sep 28 02:18:51 UTC 2023","Thu Sep 28 02:19:27 UTC 2023","35052","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Sep 28 02:41:06 UTC 2023","Thu Sep 28 02:41:09 UTC 2023","2570","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Sep 28 02:22:41 UTC 2023","Thu Sep 28 02:22:45 UTC 2023","4055","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Thu Sep 28 03:30:50 UTC 2023","Thu Sep 28 03:30:54 UTC 2023","4475","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Thu Sep 28 02:54:16 UTC 2023","Thu Sep 28 02:54:39 UTC 2023","23175","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Thu Sep 28 02:56:58 UTC 2023","Thu Sep 28 02:57:19 UTC 2023","21490","","9. Client Portal - Home","","","","1. Check links",""
"passed","Thu Sep 28 02:45:41 UTC 2023","Thu Sep 28 02:45:43 UTC 2023","2229","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Sep 28 02:46:02 UTC 2023","Thu Sep 28 02:46:04 UTC 2023","1640","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Sep 28 03:52:55 UTC 2023","Thu Sep 28 03:53:22 UTC 2023","26869","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Thu Sep 28 02:35:23 UTC 2023","Thu Sep 28 02:35:27 UTC 2023","3919","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Sep 28 02:35:04 UTC 2023","Thu Sep 28 02:35:06 UTC 2023","1746","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Sep 28 02:20:47 UTC 2023","Thu Sep 28 02:21:11 UTC 2023","24352","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Thu Sep 28 03:30:35 UTC 2023","Thu Sep 28 03:30:38 UTC 2023","3449","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Thu Sep 28 02:45:43 UTC 2023","Thu Sep 28 02:46:02 UTC 2023","19381","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Thu Sep 28 02:27:43 UTC 2023","Thu Sep 28 02:27:49 UTC 2023","6907","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Thu Sep 28 03:06:51 UTC 2023","Thu Sep 28 03:07:06 UTC 2023","15127","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Thu Sep 28 03:44:05 UTC 2023","Thu Sep 28 03:44:22 UTC 2023","17507","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Thu Sep 28 02:29:56 UTC 2023","Thu Sep 28 02:30:05 UTC 2023","8826","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Thu Sep 28 02:29:51 UTC 2023","Thu Sep 28 02:29:55 UTC 2023","4097","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Thu Sep 28 02:30:05 UTC 2023","Thu Sep 28 02:30:06 UTC 2023","902","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Sep 28 02:27:07 UTC 2023","Thu Sep 28 02:27:15 UTC 2023","8042","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Thu Sep 28 02:33:05 UTC 2023","Thu Sep 28 02:33:26 UTC 2023","21368","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Sep 28 03:30:41 UTC 2023","Thu Sep 28 03:30:44 UTC 2023","2989","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Thu Sep 28 02:41:02 UTC 2023","Thu Sep 28 02:41:06 UTC 2023","4695","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Thu Sep 28 03:11:12 UTC 2023","Thu Sep 28 03:11:34 UTC 2023","21955","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Thu Sep 28 03:07:07 UTC 2023","Thu Sep 28 03:07:07 UTC 2023","352","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Thu Sep 28 04:04:37 UTC 2023","Thu Sep 28 04:04:39 UTC 2023","1883","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Thu Sep 28 03:30:38 UTC 2023","Thu Sep 28 03:30:41 UTC 2023","2362","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Thu Sep 28 03:36:32 UTC 2023","Thu Sep 28 03:36:52 UTC 2023","19777","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Thu Sep 28 02:29:55 UTC 2023","Thu Sep 28 02:29:56 UTC 2023","301","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Thu Sep 28 03:07:07 UTC 2023","Thu Sep 28 03:07:18 UTC 2023","11079","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Thu Sep 28 02:49:22 UTC 2023","Thu Sep 28 02:49:22 UTC 2023","498","","6. Company Account","","","","9. Review Final Review",""
"passed","Thu Sep 28 02:32:35 UTC 2023","Thu Sep 28 02:32:53 UTC 2023","17998","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Sep 28 03:30:22 UTC 2023","Thu Sep 28 03:30:35 UTC 2023","13257","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Thu Sep 28 02:21:39 UTC 2023","Thu Sep 28 02:21:42 UTC 2023","2774","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Thu Sep 28 03:14:56 UTC 2023","Thu Sep 28 03:15:03 UTC 2023","7914","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
